title,company,salary,location,duration,link,date
Freelance Interviewer- Automation Engineer,Scadea Software Solutions,"₹4,76,634.78 - ₹16,84,899.00 a year",Remote,Not specified,/rc/clk?jk=f137c848e9d24070&bb=ESNXq9g02QXoC17_hUqj7dH6uIb62BCvjh2eosi7gpbdfIX64pYIhBFLjh7Mb4MrxwtOR79Oi_-mRv19T2ut8uC5KGcHzr8i1yFLkDIsYY0%3D&xkcb=SoAQ67M3DSaWZsgP3r0LbzkdCdPP&fccid=f5330f9ff7f9f5ff&cmp=Scadea-Software-Solutions&ti=Automation+Engineer&vjs=3,Active 12 days ago
QA Automation Engineer,Setoo Solutions Pvt. Ltd.,"₹8,03,194.81 - ₹20,39,740.00 a year",Remote,Not specified,/rc/clk?jk=a8d2c8de458980f9&bb=ESNXq9g02QXoC17_hUqj7WNnb7kqippqQ_4a7yVirc9aptmhmQb1ZtwtdlXvY_f5ewlEnJTApSunAKzrysjYDgay0prkaA6N895NEVKQ9q0%3D&xkcb=SoCk67M3DSaWZsgP3r0KbzkdCdPP&fccid=ac6739a284b22a29&cmp=Setoo-Solutions-Pvt.-Ltd.&ti=Automation+Engineer&vjs=3,Active 2 days ago
Senior Automation Engineer,Qualibar Pvt. Ltd. India,"₹20,00,000 - ₹25,00,000 a year",Remote,Not specified,/rc/clk?jk=1cddd35272a7c97e&bb=ESNXq9g02QXoC17_hUqj7YSW-r9jHjaWL_wN7PYOW96-wdqm1AQOU7hevuNQRmHDa0NcH9vzwv1-uc1Fx_7BpWBbE1oMGhHBim6Uvspxhu0%3D&xkcb=SoA567M3DSaWZsgP3r0JbzkdCdPP&fccid=bf0f6c2cd2266088&cmp=Qualibar-Pvt.-Ltd.-India&ti=Senior+Automation+Engineer&vjs=3,Active 2 days ago
Sr. RF Engineer,Digital Plus Solutions,"₹15,00,000 - ₹32,00,000 a year",Remote,Not specified,/rc/clk?jk=a27f6559c047e902&bb=ESNXq9g02QXoC17_hUqj7YysQ4vJ0FOX2VCfzgQj2Wi_5HVC6PglnwqcuqrUWvNRlUThckHatjxrxbV6aiL-fV8BadiQ0So-2x1yLwz_6k0%3D&xkcb=SoCN67M3DSaWZsgP3r0IbzkdCdPP&fccid=19e9ee8dc31d1dc0&cmp=Digital-Plus-Solutions&ti=Senior+Rf+Engineer&vjs=3,Active 3 days ago
Android automation test Engineer,Opportunity Hubb One Steps Solution Pvt. Ltd.,"₹11,051.33 - ₹46,857.45 a month",Remote,Not specified,/rc/clk?jk=aef469d810e9bbc4&bb=ESNXq9g02QXoC17_hUqj7XbrtjT_W4nvln8myx2s-dcju46lhpwx0ZI3uHt8s859-Mu6ypzm1m_ChCvEvDgcGltdOF_LI4m2rEly_R_7ZOM%3D&xkcb=SoAD67M3DSaWZsgP3r0PbzkdCdPP&fccid=8153323d210ae86a&cmp=Opportunity-Hubb-One-Steps-Solution-Pvt.-Ltd.&ti=Android+Developer&vjs=3,Active 4 days ago
QA Automation Engineer | Playwright,Uplers,"₹1,37,000 - ₹1,67,900 a month",Remote,Not specified,/rc/clk?jk=15d6a14185663b29&bb=ESNXq9g02QXoC17_hUqj7ToHRCB6Q9jkZ7zO1M51LVS75OWGm_QXFGdRzs_TIte6KSzj3R9r8A44PG0ZNYtU0-JTqtP0DoubbXFifqMytgw%3D&xkcb=SoC367M3DSaWZsgP3r0ObzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Automation+Engineer&vjs=3,Active 10 days ago
Lead QA Automation Engineer,Freightcom Inc.,"₹25,00,000 - ₹30,00,000 a year",Remote,Not specified,/rc/clk?jk=b90d29561d644cff&bb=ESNXq9g02QXoC17_hUqj7T2Z-4FfzM0C3CLGq9VXa1F6kk2HA6JN-gj183puXYc4-ykuDUKvNMxVv46ZsDx41nThWHtNwYS1cZNvNgznaUU%3D&xkcb=SoAq67M3DSaWZsgP3r0NbzkdCdPP&fccid=1756529649c87a56&cmp=Freightcom&ti=Automation+Engineer&vjs=3,Active 2 days ago
Automation Engineer,Vocally,,Remote,Not specified,/rc/clk?jk=66afeae8e64cb22d&bb=ESNXq9g02QXoC17_hUqj7V0hs0ByXCGJRMmPF1K6f3DKtcGKt1hbK9qQWgDiGvdWw8YHP7lnZRaKsYX7qxvcjEKSGFTeHQkUqih8D0FAhrs%3D&xkcb=SoCe67M3DSaWZsgP3r0MbzkdCdPP&fccid=1d0cc19480d04c67&vjs=3,Active 8 days ago
Tricentis Tosca Automation Engineer,Best Apps Business Solutions,,Remote,Not specified,/rc/clk?jk=1b151a87e38d1d2e&bb=ESNXq9g02QXoC17_hUqj7VMlDodAtt_nv0xLTqOP1SAusx130lHmJ6QRtotfCz_EH5W-wHASRBeoA8ztqCtsW0_6g6ZKB7mrEuYFokzYG7c%3D&xkcb=SoB367M3DSaWZsgP3r0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,Posted 30+ days ago
Identity Automation Engineer - Remote North America Opportunity,Simeio Solutions,,Remote,Not specified,/rc/clk?jk=19245922acde2520&bb=ESNXq9g02QXoC17_hUqj7QS5hS-sf-U9e66tYlTcOfMuNHX5lC2jxkZ8nqLjixrxdhYGRvGuvEGXDbUm4C4f-alnqQS55yoL5HWAMSm77EI%3D&xkcb=SoDD67M3DSaWZsgP3r0CbzkdCdPP&fccid=350d5cb795e3ac34&vjs=3,Posted 5 days ago
