title,company,salary,location,duration,link,date
Data Analyst,A5 Labs,,Remote,Not specified,/rc/clk?jk=e198da9e35530fff&bb=j0L_VcZjN-hT_6zZ1HVRJ7fy1gLBoOXzp0p6uqE9j5sRK9uEp7x07d8Hw-jvgklJHO02aDKOwERrfTjc1V_1mMyhFhEaozhOghEedgtamSw%3D&xkcb=SoAE67M3DSc_YjR86J0JbzkdCdPP&fccid=9dda6030fc8fb226&vjs=3,Posted 1 day ago
Data Analyst,Livvolta Healthcare Innovations Private Limited,"₹10,000 - ₹12,000 a month",Remote,Not specified,/rc/clk?jk=a2d9f12522df0ccd&bb=j0L_VcZjN-hT_6zZ1HVRJ_al0eYVc5uYVbeJaZfRD3scYR6oZ-_-eOaxt5_fFYBYvD_nTOx2IqQGg60aBxlbKMZA6sU19L5HIAwVq2kF37w%3D&xkcb=SoCw67M3DSc_YjR86J0IbzkdCdPP&fccid=ee7d9d9ef80e1226&cmp=Livvolta-Healthcare-Innovations-Private-Limited&ti=Data+Analyst&vjs=3,Active 3 days ago
Market Research Analyst,Jabil Circuit,,Remote,Not specified,/rc/clk?jk=1df479511ab26725&bb=j0L_VcZjN-hT_6zZ1HVRJzBhlicFY8QVJLY5sNM7EznqBoGui68Jl34cRYrVIXLBIAXZY-tfj4YaJltGiD7MLhk39ayfvbTRiNXN1rRjhp8%3D&xkcb=SoA-67M3DSc_YjR86J0PbzkdCdPP&fccid=0b46d1863c3b0bf5&vjs=3,Posted 2 days ago
Market Data Analyst,American Health Care Academy,"₹30,000 - ₹50,000 a month",Remote,Not specified,/rc/clk?jk=26c0ea2876ba7ea3&bb=j0L_VcZjN-hT_6zZ1HVRJ_l626LCrfJy34yH64Z9CKKdrlMfwyMmEP-ClPwS7mX2tkW4NLxi9zlmYPrRCKr7rMAke80Lcp-NT6-pl2Dy5nw%3D&xkcb=SoCK67M3DSc_YjR86J0ObzkdCdPP&fccid=8c99924c6b793384&cmp=Childcare-Software&ti=Market+Analyst&vjs=3,Active 2 days ago
Online Data Analyst - India,TELUS,,Remote,Not specified,/rc/clk?jk=68b7c411841586f8&bb=j0L_VcZjN-hT_6zZ1HVRJwjlRyHR2gY-j4B1W-55U7Kw5oRZTSu2t9j3O8H0SB59wluFAnH-jePwv-q0dgTApctwNmRPc6ZI4NxpSQwDXUU%3D&xkcb=SoAX67M3DSc_YjR86J0NbzkdCdPP&fccid=ed81336789a877c2&vjs=3,Posted 30+ days ago
Reverse Logistics Analyst,Choice Logistics,,Remote,Not specified,/rc/clk?jk=b4c006aa3d286843&bb=j0L_VcZjN-hT_6zZ1HVRJ7EbLXD6Q_KfJIIiJYEuJJwyyVymjf2ZZLCczB1jGL4prKbc9ibda2e2CjMAuj4dg-FA30Pv6YaARTBs0hB8Tpw%3D&xkcb=SoCj67M3DSc_YjR86J0MbzkdCdPP&fccid=2a1a5ce77cdc56e1&vjs=3,Today
Business Analyst,FundCount,"From ₹1,30,000 a month",Remote,Not specified,/rc/clk?jk=2fc2d2df14dd9f90&bb=j0L_VcZjN-hT_6zZ1HVRJwDw8W-dVplZf-XL_zIZScha-maOVaqVL0358YwEdiKiP2t7wjLqPH-4CSDi7j7BuxLkAsa-wxhMEbgXe92Ko9k%3D&xkcb=SoBK67M3DSc_YjR86J0DbzkdCdPP&fccid=050cd0ad0f380589&cmp=FundCount&ti=Business+Analyst&vjs=3,Active 2 days ago
Data analyst Trainer,Skill ladder,"₹5,000 - ₹7,000 a month",Remote,Not specified,/rc/clk?jk=b9ea33029fa5ed5c&bb=j0L_VcZjN-hT_6zZ1HVRJ_FoK-DVb9jZPWUAxqGTUPdC16BcdzOFfBL583hxt6gtlvsC-W49pBJqJPiCPRrmvanm_dHrNZB2rI3zETUCwpk%3D&xkcb=SoD-67M3DSc_YjR86J0CbzkdCdPP&fccid=56d90aab3bf3fd39&cmp=Skill-ladder&ti=Data+Analyst&vjs=3,Active 5 days ago
Data Analyst,Statxo,,Remote,Not specified,/rc/clk?jk=2ed4132f63e13834&bb=j0L_VcZjN-hT_6zZ1HVRJy8q3YM6dFf_3TVZQMO3OVr_IeZDvGcAMGIzYxcXgPt2Uq3Qwzwnpved0QU7WfVQPXdYdbt_69PH8NZtTnafft8%3D&xkcb=SoBj67M3DSc_YjR86J0BbzkdCdPP&fccid=15908ead036b4718&cmp=Statxo&ti=Data+Analyst&vjs=3,Active 18 days ago
Data Analyst Intern,sportskeeda,,Remote,Not specified,/rc/clk?jk=dae2733bfaec6963&bb=j0L_VcZjN-hT_6zZ1HVRJzBhlicFY8QVL58fFNaiwS82yTLpdxfol43vS7-ZT85E_3YE_ak5AD8Vk94q6FsSrDZ6xoDk8QxiFhWxiW3q9s8%3D&xkcb=SoDX67M3DSc_YjR86J0AbzkdCdPP&fccid=7d8e0841fb7c6810&vjs=3,Posted 22 days ago
