title,company,salary,location,duration,link,date
DevOps Engineer,Mahasana IT Solutions Pvt Ltd.,"₹8,40,000 - ₹12,00,000 a year",Remote,Not specified,/rc/clk?jk=7025d2ef0fc12d95&bb=gRueNvr3C5m4G6utvE5hwYZCQMpDUBim27q94ICMD7ilOPxzZsggudgdROQL5GnMz1bJBfEvmPZiE2BggrUPxZXMKYPrG9uTwjEom-ry7J0%3D&xkcb=SoDh67M3DSdfK5AH6L0LbzkdCdPP&fccid=01aa37ed33984c30&cmp=Mahasana-IT-Solutions-Pvt-Ltd.&ti=Development+Operations+Engineer&vjs=3,Active 4 days ago
DevOps Engineer,XPaydite India Pvt Ltd,"₹2,00,000 - ₹2,50,000 a year",Remote,Not specified,/rc/clk?jk=1f3029e1f0f33a89&bb=gRueNvr3C5m4G6utvE5hwUDM4AVxZ3XIB1XnQ0gTHSbtf0JYpmD4I2PywMKmeH-DkEQPo6pZCGiV5PYbSw1KOmdTPyc2xZsdK7dg8I2nVjc%3D&xkcb=SoBV67M3DSdfK5AH6L0KbzkdCdPP&fccid=8a04ffa5fc14d1b8&cmp=XPaydite-India-Pvt-Ltd&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
DevOps Engineer,Mastork Technologies,"₹90,000 a month",Remote,Not specified,/rc/clk?jk=f8b04c73469cb9eb&bb=gRueNvr3C5m4G6utvE5hwY3WW60a8ZXdOoppoL7BoNVAXNP8p7MNuXk_MwZqQBBH5zKneSWPZTa7FmKA_8D7usTsPJ2umglwdZf6JqsYhHQ%3D&xkcb=SoDI67M3DSdfK5AH6L0JbzkdCdPP&fccid=2867c79a2d86e7ae&cmp=Mastork-Technologies&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
Sr. DevOps Engineer ( 3-5 years exp),Eclat Engineering Pvt. Ltd.,"₹15,00,000 - ₹18,00,000 a year",Remote,Not specified,/rc/clk?jk=11be1627bfb5feb6&bb=gRueNvr3C5m4G6utvE5hwWCdVTk8kCYzIi6huqFXHCNy60uu5rxWdvgUiKgT6NXwnUHud2Bi7tuXnNi4HY3z_M-Us4Zozb362Srsq5tlBTM%3D&xkcb=SoB867M3DSdfK5AH6L0IbzkdCdPP&fccid=756c4b426d1e74b3&cmp=Eclat-Engineering&ti=Development+Operations+Engineer&vjs=3,Active 5 days ago
DevOps Engineer,Zoof software Solutions,"From ₹15,00,000 a year",Remote,Not specified,/rc/clk?jk=fd69ad5b33d41d48&bb=gRueNvr3C5m4G6utvE5hwcyE8CjiQ5Whe8SocPAUpmUXT0pbtIk5yXqdC6eEeUGEMvzgCYVoXFCHPmTrrrxHBc51x6825W-2MR7NoF1Ru34%3D&xkcb=SoDy67M3DSdfK5AH6L0PbzkdCdPP&fccid=ac62b4690c885b04&cmp=Zoof-Software-Solutions-Pvt.-Ltd.&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
DevOps Engineer,Hotspot Retail,"₹30,00,000 - ₹35,00,000 a year",Remote,Not specified,/rc/clk?jk=dff7d1a7858abe33&bb=gRueNvr3C5m4G6utvE5hwcQQDyO5erVhzrywz8GFhKeK5p1-yPOzGn8on1yF7sZha_Hnd8bzNLOTgxRNYB0E8JKtRSJyf19gBMtu1K28D7c%3D&xkcb=SoBG67M3DSdfK5AH6L0ObzkdCdPP&fccid=63f6af0762cfe481&cmp=Hotspot-Retail&ti=Development+Operations+Engineer&vjs=3,Active 3 days ago
DevOps Engineer,Talent Corner HR Services Private Limited,"₹12,00,000 - ₹28,00,000 a year",Remote,Not specified,/rc/clk?jk=f9f8b8dd91cad589&bb=gRueNvr3C5m4G6utvE5hwf7K74NnEh_vl3OLtM7ldLFxBEJ8MxDcaE2wSLCfELpU98C84yis3_hQ04k6vRXote41TAAgphdlBC3H4f1h56M%3D&xkcb=SoDb67M3DSdfK5AH6L0NbzkdCdPP&fccid=0f289a6509f42c20&cmp=Talent-Corner-HR-Services-Private-Limited&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
Mid level DevOps Engineer,TTM Technologies Private Limited,"₹4,17,289.63 - ₹16,38,164.50 a year",Remote,Not specified,/rc/clk?jk=1c23aee2ec794901&bb=gRueNvr3C5m4G6utvE5hwU4uLbRkpBoT_jS-dilJL3y28F4TPgCXFS5qIRDRMn_1cK5hI-OmObKA04VSZ3OVxtjDqzUJ-e1qLf9n0OKbok4%3D&xkcb=SoBv67M3DSdfK5AH6L0MbzkdCdPP&fccid=a7bf362a6bdc7462&cmp=TTM-Technologies-Private-Limited&ti=Development+Operations+Engineer&vjs=3,Active 4 days ago
Devops Engineer (Remote / Contractual),SVAR TECHNOLOGY,"₹60,000 - ₹90,000 a month",Remote,Not specified,/rc/clk?jk=0299e4802806d3dd&bb=gRueNvr3C5m4G6utvE5hwXvoqhbPD6_b33YhPEyvwyFB8REavdB9S3btvk8LwTtvOPilNksF5VLq-I66CqsF-OBx45vsypl07u8_MlJqUps%3D&xkcb=SoCG67M3DSdfK5AH6L0DbzkdCdPP&fccid=f27691594ff7c23a&cmp=Noah-Healthcare&ti=Development+Operations+Engineer&vjs=3,Active 7 days ago
"DevOps,AWS Engineer (Windows Environment)",Ignatiuz Software Pvt. Ltd.,"₹4,16,584.19 - ₹8,68,710.31 a year",Remote,Not specified,/rc/clk?jk=6e99a004fdc2fd0b&bb=gRueNvr3C5m4G6utvE5hwTNV8xBw3PC0vfai6iC_oVk6h9FCnEyuTyzbF7nV-rSiixuffqaKKr_jwUSun2l_mH_sS0Wa0iKb1elFbPJdtXQ%3D&xkcb=SoAy67M3DSdfK5AH6L0CbzkdCdPP&fccid=e48b930e8a83b4ed&cmp=Ignatiuz-Software-Pvt.-Ltd.&ti=Development+Operations+Engineer&vjs=3,Active 5 days ago
Senior DevOps Engineer (Remote),Uplers,"₹4,05,000 a month",Remote,Not specified,/rc/clk?jk=fc49a97b5fe94e65&bb=gRueNvr3C5m4G6utvE5hweIHi3kAcHJokeGEakSNerHX5I5JoOqbZlQbWpLVH3ZvNwJODrGGSd99-lpruGPdwtDToGY2fHYu7FMcpvkPm7A%3D&xkcb=SoCv67M3DSdfK5AH6L0BbzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
DevOps Engineer,Ignatiuz Software Pvt. Ltd.,"₹4,16,584.19 - ₹10,68,710.25 a year",Remote,Not specified,/rc/clk?jk=869831b6fb679cf4&bb=gRueNvr3C5m4G6utvE5hwXp5euY58q12KoZEEBr0V5iJHO4utFpUhpXWhd2htBfJSbRSfUukCQ_OEQkser6otUigBAqygBSR38SqCQYzS04%3D&xkcb=SoAb67M3DSdfK5AH6L0AbzkdCdPP&fccid=e48b930e8a83b4ed&cmp=Ignatiuz-Software-Pvt.-Ltd.&ti=Development+Operations+Engineer&vjs=3,Active 3 days ago
Lead Gateway DevOps Engineer,Zoom,,Remote,Not specified,/rc/clk?jk=f6d07b812cf3c40b&bb=gRueNvr3C5m4G6utvE5hwRSkG0DA4La6tSVmgeyUizEEY6PTcepW2jxZrfPWrRL6Ooc0oNfSlDQh-PLGbG8h0wxmVurP5JMq5P3sTZMhsB8%3D&xkcb=SoCV67M3DSdfK5AH6L0HbzkdCdPP&fccid=34a307d555f04368&vjs=3,Today
AWS/DevOps Engineer,"Resourcesoft, Inc.","₹18,16,584.25 - ₹34,68,710.25 a year",Remote,Not specified,/rc/clk?jk=205dbe6dc29274ce&bb=gRueNvr3C5m4G6utvE5hweBC0NVz9V720p9yH0r1gbXexWuFMPlcswVC0N9VdynqTJ0F6rG1HtQuOVTCd_u6YFkI7HyTC1bTSfcO3HDDz7U%3D&xkcb=SoAh67M3DSdfK5AH6L0GbzkdCdPP&fccid=b54afa1ef811904e&cmp=Resourcesoft%2C-Inc.&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
AWS/DevOps Engineer,EJGates Global Private Limited,,Remote,Not specified,/rc/clk?jk=8c2235b0bdf3c130&bb=gRueNvr3C5m4G6utvE5hwV0x_j62hVKQonCJXqY9suT5UjJ-OHdo4AyWJZAqoSl2_nGhfuRhal6n0KvDWwBA8NZR6OYHDsRJBhRRzOV2z3U%3D&xkcb=SoC867M3DSdfK5AH6L0FbzkdCdPP&fccid=8e9639a0fb4a2250&cmp=EJGates-Global-Private-Limited&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
DEVOPS ENGINEER,Mavin InfoTech,,Remote,Not specified,/rc/clk?jk=0d7b74e5d4d1c086&bb=Eojh8T2UjQyRzKsN2gbyLQtg_v4qEe0C6Ckeg9JgO6gaxMA4yqbC1jAdBZsxS8ZCzP1dNXCt8l9M-y4K2MJaoDzFGPZMvWsjN7FeGieYPRk%3D&xkcb=SoCn67M3DSdcRHQHNp0JbzkdCdPP&fccid=756cc0a3fc6a1aba&vjs=3,Posted 30+ days ago
Senior DevOps Engineer - Freelancer,Mutual Objects,,Remote,Not specified,/rc/clk?jk=5e9269c28fbd61a4&bb=Eojh8T2UjQyRzKsN2gbyLem5JjGnX53x9PB8WLDYr5__SmJ7RwsZ1GuKNpFUcgC7nULJX2DVw700IERWU6w6CxtsnpbqR68Wz1bfErnmdCE%3D&xkcb=SoAT67M3DSdcRHQHNp0IbzkdCdPP&fccid=f41a832a1e3d5e7d&cmp=mutual-objects&ti=Development+Operations+Engineer&vjs=3,Posted 2 days ago
DevOps Engineer,Hyqoo,,Remote,Not specified,/rc/clk?jk=bfb3799b41f16ad7&bb=Eojh8T2UjQyRzKsN2gbyLTWZqxI-iu-urWEIYjbG9EVgiZdjniHeG6Jtyc-7kSJCSG8CyGWUi95wKLwyQHApy0sFlNvvltrjJ1oxqVDN4Go%3D&xkcb=SoCd67M3DSdcRHQHNp0PbzkdCdPP&fccid=ec3fbb0ad915c22e&vjs=3,Posted 23 days ago
QA DevOps Engineer,Websar Technologies LLP,"₹4,16,899.56 - ₹16,69,875.13 a year",Remote,Not specified,/rc/clk?jk=e0ee0d367d8dde0d&bb=Eojh8T2UjQyRzKsN2gbyLUIwPJjxUtKu9czmcwUYBgduops4Xt3abATY_rgCYdqO-Nh-xgBeVvzH86Gt6mPh62VQ57qJIDanpeVVHftchuM%3D&xkcb=SoAp67M3DSdcRHQHNp0ObzkdCdPP&fccid=636693a1354fae5c&cmp=Websar-Technologies-LLP&ti=Development+Operations+Engineer&vjs=3,Active 2 days ago
Cloud DevOps Engineer,Juakali,"₹5,00,000 - ₹15,00,000 a year",Remote,Not specified,/rc/clk?jk=53a96c9505662dfe&bb=Eojh8T2UjQyRzKsN2gbyLapcM-Gk90hsWNwGwB51LJWlyw_DZgsF_5d9T-nxKU9t-Gw_Zbe2rc1B1alAnXA6h-9QXDQKUC224xTISjLChag%3D&xkcb=SoC067M3DSdcRHQHNp0NbzkdCdPP&fccid=81fb30974a7dce23&cmp=Juakali&ti=Development+Operations+Engineer&vjs=3,Active 8 days ago
DevOps Engineer,Verteil Technologies,,Remote,Not specified,/rc/clk?jk=57beaac8b5890202&bb=Eojh8T2UjQyRzKsN2gbyLU9BTNkMkadhkOq4DpJ6HL8kyVE66X8YaMzN11EYThWBGw_zOCdtRyZlabBaDpqhD4IrGCSOse24MUC909EYFQQ%3D&xkcb=SoAA67M3DSdcRHQHNp0MbzkdCdPP&fccid=cccc3d2c6dac8843&vjs=3,Posted 8 days ago
"Site Reliability Engineer, Devops",Skytap,,Remote,Not specified,/rc/clk?jk=c33a2b632bf5c5df&bb=Eojh8T2UjQyRzKsN2gbyLZHd5VLdb0DwsIUHRf5_vsun6A0IaLPm9yDhIz2dvxZ6zMT9Zn7GJKXQaOi0XjHNeriEwiGe44yw_GeTOycHoKM%3D&xkcb=SoDp67M3DSdcRHQHNp0DbzkdCdPP&fccid=8d69b1348b1b222a&vjs=3,Posted 30+ days ago
Devops Engineer,"SmarTek21, LLC",,Remote,Not specified,/rc/clk?jk=3ed4972c08b78086&bb=Eojh8T2UjQyRzKsN2gbyLTG214YvSBjJRE9RMckNF7WAxnW7z672YioLots_b1PJJjGI4Ds5NgOeoHqtTBt2tINL5KuC-WAARagX0w-_pMc%3D&xkcb=SoBd67M3DSdcRHQHNp0CbzkdCdPP&fccid=545f304e598bd033&vjs=3,Posted 17 days ago
DevOps Engineer,Jobs Territory,"₹40,000 - ₹60,000 a month",Remote,Not specified,/rc/clk?jk=53ac22dd75189918&bb=Eojh8T2UjQyRzKsN2gbyLTY10dHlgiMAA1L9lsN1AcFTeSw34DqGGD1AlhaipxZbbzOkCjcEVGySyxRMErZB-1TRQPvhNH_K3vyr3gbpETU%3D&xkcb=SoDA67M3DSdcRHQHNp0BbzkdCdPP&fccid=98644ed12e87181d&cmp=Space&ti=Development+Operations+Engineer&vjs=3,Active 4 days ago
DevOps Engineer-Remote,Saffo Solution Technology,,Remote,Not specified,/rc/clk?jk=ac0465a1e42f5919&bb=Eojh8T2UjQyRzKsN2gbyLYMhRW5KiMfXOeWSwU1BUYZPBEz-gC3DafKerIItw8mwT6KoBLqwdu5POEYn56eXpbrMlD8jzA2C6HLPKJk9DYg%3D&xkcb=SoB067M3DSdcRHQHNp0AbzkdCdPP&fccid=20e75bf7b9e8bab0&vjs=3,Posted 30+ days ago
DevOps Engineer,BatchService,,Remote,Not specified,/rc/clk?jk=382f8af5690c28da&bb=Eojh8T2UjQyRzKsN2gbyLSnP7jLMAVIceqIBixT1ALCFWEARpP_1ARGVWlmsNOAwEsPJ7BK4UmdvUNTDsuL8kAk8wtjvyS_DGhBX7Lc_Eeo%3D&xkcb=SoD667M3DSdcRHQHNp0HbzkdCdPP&fccid=6b7e3270f68d9ee6&vjs=3,Posted 30+ days ago
Senior DevOps Engineer - Azure,Maropost,"₹12,00,000 - ₹20,00,000 a year",Remote,Not specified,/rc/clk?jk=94a9ad86ac34c2d0&bb=Eojh8T2UjQyRzKsN2gbyLaKWY-EaMwq9403hfpZStyJWeYDmnsvtUwvSf0A6tGREw85aO4-zGIDz3BOI4jayEUqSvb5_DN-mojCyR5vdBlg%3D&xkcb=SoBO67M3DSdcRHQHNp0GbzkdCdPP&fccid=8da401461eae8c93&cmp=Maropost&ti=Development+Operations+Engineer&vjs=3,Active 3 days ago
Lead DevOps Engineer,bangalore strategic solutions,"₹4,16,584.19 - ₹20,68,710.25 a year",Remote,Not specified,/rc/clk?jk=482515e7b1dfc7b6&bb=Eojh8T2UjQyRzKsN2gbyLaAqQS7TU7W9_34fU3HdRUDRGsQSf9kEpNtGat95zb-lkBubJQKvTWEcnMsHYluCuWkUuQFmMzfJH4u3FIg2jDA%3D&xkcb=SoDT67M3DSdcRHQHNp0FbzkdCdPP&fccid=0e21b7a5a0548752&cmp=bangalore-strategic-solutions&ti=Development+Operations+Engineer&vjs=3,Active 3 days ago
Senior DevOps Engineer,smartData Enterprises,"₹1,00,000 - ₹1,20,000 a month",Remote,Not specified,/rc/clk?jk=e2917dd4bc5f4913&bb=Eojh8T2UjQyRzKsN2gbyLWLOw-hIsnP_wBHWDUC4IaYBQYvZ35Xv_92nhNcxbze-k7H_H3wKNdLGCHGevA-kPVkKANNaqDNnu3XGayzNgDY%3D&xkcb=SoBn67M3DSdcRHQHNp0EbzkdCdPP&fccid=6737eadfa3ff8328&cmp=smartData-Enterprises&ti=Development+Operations+Engineer&vjs=3,Active 3 days ago
