title,company,salary,location,duration,link,date
VueJS Developer,Azort Technology Private Limited,,Remote,Not specified,/rc/clk?jk=7825340eb26b6b2a&bb=XVscNfBd6gkulHAX7NqLSaK9sNE5SqnriD6419DWZUe7i85b5ulDCRaaU6T22WydgjYFnYtTH-3aEY9zBH3i-GTpGypGjNfGbNDk1dG0fW0%3D&xkcb=SoD267M3DSag-5x85h0IbzkdCdPP&fccid=83fd0c173936c49d&cmp=Azort-Technology-Private-Limited&ti=Developer&vjs=3,Active 3 days ago
Full Stack Developer Laravel Vuejs,Bentyd technologies,"₹30,000 - ₹1,00,000 a month",Remote,Not specified,/rc/clk?jk=11134cfd2c28cdfb&bb=XVscNfBd6gkulHAX7NqLSWyE7pv2lE5LkgHkdqHxFRY675Qlji7Oluh4S00GDeqO3rdxQrSlb05wQwDGP1Zm0LbfEsGoj4tH6L2HC_gTh4E%3D&xkcb=SoB467M3DSag-5x85h0PbzkdCdPP&fccid=ad985022efa57aaa&cmp=Bentyd-technologies&ti=Full+Stack+Developer&vjs=3,Posted 2 days ago
VueJS Developer (Remote),A2Z Jobs Consultancy,,Remote,Not specified,/rc/clk?jk=6262a1ca27258439&bb=XVscNfBd6gkulHAX7NqLSfBT4RtsAmoLvLxGEisVqkFyMof4YnH9yKuAf1kJ6867Wq-gK8hogBgSV_Vzo3GWG5PSNN29XcDacUCmjKdp9Nw%3D&xkcb=SoDM67M3DSag-5x85h0ObzkdCdPP&fccid=f617b163a51891cf&vjs=3,Posted 30+ days ago
MEVN developer,Crewscale,"₹10,00,000 - ₹20,00,000 a year",Remote,Not specified,/rc/clk?jk=29164d3bb2607114&bb=XVscNfBd6gkulHAX7NqLSaK9sNE5Sqnr1NnWFg0UBtcxQUEylXYMWQi-CTOVf-j-HJbu0xp0jM_sQTZH98FiR2KamyaVjwIm2KfrYItveVw%3D&xkcb=SoBR67M3DSag-5x85h0NbzkdCdPP&fccid=5de324cd56be33d6&cmp=Crewscale&ti=Developer&vjs=3,Active 4 days ago
Senior Frontend Developer (VueJS),JDoodle,,Remote,Not specified,/rc/clk?jk=483cc6879b3c5a99&bb=XVscNfBd6gkulHAX7NqLSRIc6ZiqwEfY6z0kVCd2sajRCM7jGU3fCsXwlGRzYwKUDalnvIrhZkyS7uiPzfr-m49IG-D73S0nYfx-2wagGFo%3D&xkcb=SoDl67M3DSag-5x85h0MbzkdCdPP&fccid=3bb94e18381ac319&vjs=3,Posted 30+ days ago
Backend Developer,Infraveo Technologies Pvt. Ltd.,"₹60,000 - ₹95,000 a month",Remote,Not specified,/rc/clk?jk=5538ed07d301490c&bb=XVscNfBd6gkulHAX7NqLSYEroL3w-KG18sVOwYPOjM05jbkAiKBYF92aQEpcKc4Qgzni2GuN6tSc64UzbfbCZTRCR89ypwcR0Mcwuhsoqzo%3D&xkcb=SoAM67M3DSag-5x85h0DbzkdCdPP&fccid=d13980a350549a80&cmp=Infraveo-Technologies-Pvt.-Ltd.&ti=Back+End+Developer&vjs=3,Active 21 days ago
Senior Software Engineer / Team Lead,The Web Fosters,"₹5,00,000 - ₹8,00,000 a year",Remote,Not specified,/rc/clk?jk=4b27afce388666f4&bb=XVscNfBd6gkulHAX7NqLSWNBFF4QOR9XaJRbAjEE_DJ7IuDl38cZ_harM1JYlYW8bKvsfD028pqfpUceCm8kKMFLa-EyCiIQOSQy_OUliqM%3D&xkcb=SoC467M3DSag-5x85h0CbzkdCdPP&fccid=f1a7bed12d593f4f&cmp=The-Web-Fosters&ti=Senior+Software+Engineer&vjs=3,Posted 2 days ago
Senior Front End Developer,Infraveo Technologies Pvt. Ltd.,"₹60,000 - ₹95,000 a month",Remote,Not specified,/rc/clk?jk=efafebfde733256c&bb=XVscNfBd6gkulHAX7NqLSZDGHy3Krvu4Aqk-sBM8sX0zFlYJq1J5lpauMoIrC4bkVTwCjs7qYxDzN5VT2rdawfPoPQ0gN3c22ovDrYRhDVQ%3D&xkcb=SoAl67M3DSag-5x85h0BbzkdCdPP&fccid=d13980a350549a80&cmp=Infraveo-Technologies-Pvt.-Ltd.&ti=Front+End+Developer&vjs=3,Active 21 days ago
Front End Developer,EZEU,,Remote,Not specified,/rc/clk?jk=57d3906b3e796a27&bb=XVscNfBd6gkulHAX7NqLSV2JjzECytjIHXp0z192kGrgTJjN9bl7JveaGEYV6bj6EGJsxsBiHgs8TlHIWwVjwBOFzdE-xhJ3CDjr8D8DUjk%3D&xkcb=SoCR67M3DSag-5x85h0AbzkdCdPP&fccid=4707dbc0f00f1298&cmp=EZEU&ti=Front+End+Developer&vjs=3,Active 4 days ago
Frontend Developer (Vue.JS),Optizm Global,,Remote,Not specified,/rc/clk?jk=078197b7b49804b5&bb=XVscNfBd6gkulHAX7NqLST3_dhTJLufPOFKyjnSs3KMFMfKOwLgCUBWeh_kFAHqTDK5zrdkdabkzfROEqlrr-NMN8PpzmSBXlEHlI2VhW3A%3D&xkcb=SoAf67M3DSag-5x85h0HbzkdCdPP&fccid=3031f3a1cb70543e&vjs=3,Posted 30+ days ago
